honorific_title,first_name,last_name,username,profile_URL,status,gender,political_affiliation,constituency,province_territory
NA,Ziad,Aboultaif,ziadaboultaif8623,https://www.youtube.com/@ziadaboultaif8623,Active,Man,Conservative,Edmonton Manning,Alberta
NA,Scott,Aitchison,votescott,https://www.youtube.com/@votescott,Active,Man,Conservative,Parry Sound-Muskoka,Ontario
NA,Dan,Albas,danalbas,https://www.youtube.com/@danalbas,Active,Man,Conservative,Central Okanagan-Similkameen-Nicola,British Columbia
Hon.,Omar,Alghabra,omaralghabra,https://www.youtube.com/@omaralghabra,Inactive,Man,Liberal,Mississauga Centre,Ontario
NA,Shafqat,Ali,shafqatalimp,https://www.youtube.com/@shafqatalimp,Active,Man,Liberal,Brampton Centre,Ontario
NA,Dean,Allison,allisd8,https://www.youtube.com/@allisd8,Inactive,Man,Conservative,Niagara West,Ontario
Hon.,Gary,Anandasangaree,garyanandasangaree2270,https://www.youtube.com/@garyanandasangaree2270,Inactive,Man,Liberal,Scarborough-Rouge Park,Ontario
NA,Charlie,Angus,charlieangus,https://www.youtube.com/@charlieangus,Active,Man,NDP,Timmins-James Bay,Ontario
NA,Mel,Arnold,melarnold2150,https://www.youtube.com/@melarnold2150,Active,Man,Conservative,North Okanagan-Shuswap,British Columbia
NA,Chandra,Arya,aryacanada,https://www.youtube.com/@aryacanada,Active,Man,Liberal,Nepean,Ontario
NA,Niki,Ashton,nikiashtonndp,https://www.youtube.com/@nikiashtonndp,Active,Woman,NDP,Churchill-Keewatinook Aski,Manitoba
NA,Jenica,Atwin,jenicaatwin2480,https://www.youtube.com/@jenicaatwin2480,Active,Woman,Liberal,Fredericton,New Brunswick
NA,Taylor,Bachrach,taylorbachrachndp2669,https://www.youtube.com/@taylorbachrachndp2669,Active,Man,NDP,Skeena-Bulkley Valley,British Columbia
NA,Vance,Badawey,vancebadawey3163,https://www.youtube.com/@vancebadawey3163,Inactive,Man,Liberal,Niagara Centre,Ontario
NA,Yvan,Baker,yvanbaker937,https://www.youtube.com/@yvanbaker937,Inactive,Man,Liberal,Etobicoke Centre,Ontario
NA,Tony,Baldinelli,tonybaldinelli7468,https://www.youtube.com/@tonybaldinelli7468,Inactive,Man,Conservative,Niagara Falls,Ontario
NA,Xavier,Barasalou-Duval,xavierbarsalou-duval9473,https://www.youtube.com/@xavierbarsalou-duval9473,Active,Man,Bloc Québécois,Pierre-Boucher-Les Patriotes-Verchères,Quebec
NA,John,Barlow,JohnBarlowMP,https://www.youtube.com/@JohnBarlowMP,Active,Man,Conservative,Foothills,Alberta
NA,Michael,Barrett,MikeBarrettON,https://www.youtube.com/@MikeBarrettON,Active,Man,Conservative,Leeds-Grenville-Thousand Islands and Rideau Lakes,Ontario
NA,Jaime,Battiste,reelectjaimebattiste3855,https://www.youtube.com/@jaimebattiste9161,Inactive,Man,Liberal,Sydney-Victoria,Nova Scotia
NA,Mario,Beaulieu,mariobeaulieu5507,https://www.youtube.com/@mariobeaulieu5507,Inactive,Man,Bloc Québécois,La Pointe-de-l'Île,Quebec
Hon.,Terry,Beech,terrybeech,https://www.youtube.com/@terrybeech,Active,Man,Liberal,Burnaby North-Seymour,British Columbia
NA,Rachel,Bendayan,rachelbendayan1312,https://www.youtube.com/@rachelbendayan1312,Inactive,Woman,Liberal,Outremont,Quebec
NA,Stéphane,Bergeron,stephanebergeronmontarvill9298,https://www.youtube.com/@stephanebergeronmontarvill9298,Active,Man,Bloc Québécois,Montarville,Quebec
NA,Luc,Berthold,MairieTM,https://www.youtube.com/@MairieTM,Inactive,Man,Conservative,Megantic-L'erable,Quebec
NA,James,Bezan,jamesbezan,https://www.youtube.com/@jamesbezan,Active,Man,Conservative,Selkirk-Interlake-Eastman,Manitoba
Hon.,Marie-Claude,Bibeau,bureaudelhonorablemarie-cl827,https://www.youtube.com/@bureaudelhonorablemarie-cl827,Inactive,Woman,Liberal,Compton-Stanstead,Quebec
Hon.,Bill,Blair,billblairmp5321,https://www.youtube.com/@billblairmp5321,Inactive,Man,Liberal,Scarborough Southwest,Ontario
NA,Yves-François,Blanchet,yves-francoisblanchet2936,https://www.youtube.com/@yves-francoisblanchet2936,Inactive,Man,Bloc Québécois,Beloeil-Chambly,Quebec
NA,Maxime,Blanchette Joncas,MBJDepute,https://www.youtube.com/@MBJDepute,Active,Man,Bloc Québécois,Rimouski-Neigette-Temiscouata-Les Basques,Quebec
NA,Rachel,Blaney,rachelblaneyMP,https://www.youtube.com/@rachelblaneyMP,Active,Woman,NDP,North Island-Powell River,British Columbia
NA,Kelly,Block,MPKellyBlock,https://www.youtube.com/@kellyBloc Québécoiskmp5459,Inactive,Woman,Conservative,Carlton Trail-Eagle Creek,Saskatchewan
NA,Kody,Blois,kodyblois6484,https://www.youtube.com/@kodyblois6484,Inactive,Man,Liberal,Kings-Hants,Nova Scotia
Hon.,Randy,Boissonnault,r_boissonnault,https://www.youtube.com/@r_boissonnault,Active,Man,Liberal,Edmonton Centre,Alberta
