honourific_title,first_name,last_name,username,profile_URL,status,gender,political_affiliation,constituency,province_territory
NA,Ziad,Aboultaif,ziadaboultaif8623,https://www.youtube.com/@ziadaboultaif8623,Active,Man,Conservative,Edmonton Manning,Alberta
NA,Sima,Acan,TeamSima2025,https://www.youtube.com/@TeamSima2025,Active,Woman,Liberal,Oakville West,Ontario
NA,Scott,Aitchison,votescott,https://www.youtube.com/@votescott,Active,Man,Conservative,Parry Sound—Muskoka,Ontario
NA,Dan,Albas,danalbas,https://www.youtube.com/@danalbas,Active,Man,Conservative,Okanagan Lake West—South Kelowna,British Columbia
NA,Shafqat,Ali,shafqatalimp,https://www.youtube.com/@shafqatalimp,Active,Man,Liberal,Brampton—Chinguacousy Park,Ontario
NA,Dean,Allison,allisd8,https://www.youtube.com/@allisd8,Inactive,Man,Conservative,Niagara West,Ontario
NA,Anita,Anand,AnitaAnandOakvilleEast,https://www.youtube.com/@AnitaAnandOakvilleEast,Active,Woman,Liberal,Oakville East,Ontario
Hon.,Gary,Anandasangaree,garyanandasangaree2270,https://www.youtube.com/@garyanandasangaree2270,Inactive,Man,Liberal,Scarborough—Guildwood—Rouge Park,Ontario
NA,Carol,Anstey,CarolAnsteyCampaign,https://www.youtube.com/@CarolAnsteyCampaign,Active,Woman,Conservative,Long Range Mountains,Newfoundland and Labrador
NA,Mel,Arnold,melarnold2150,https://www.youtube.com/@melarnold2150,Inactive,Man,Conservative,Kamloops—Shuswap—Central Rockies,British Columbia
NA,Chak,Au,ChakAu604,https://www.youtube.com/@ChakAu604,Active,Man,Conservative,Richmond Centre—Marpole,British Columbia
NA,Roman,Baber,romanbaber8527,https://www.youtube.com/@romanbaber8527,Active,Man,Conservative,York Centre,Ontario
NA,Parm,Bains,bains4richmond,https://www.youtube.com/@bains4richmond,Inactive,Man,Liberal,Richmond East—Steveston,British Columbia
NA,Yvan,Baker,yvanbaker937,https://www.youtube.com/@yvanbaker937,Inactive,Man,Liberal,Etobicoke Centre,Ontario
NA,Tony,Baldinelli,tonybaldinelli7468,https://www.youtube.com/@tonybaldinelli7468,Inactive,Man,Conservative,Niagara Falls—Niagara-on-the-Lake,Ontario
NA,Xavier,Barasalou-Duval,xavierbarsalou-duval9473,https://www.youtube.com/@xavierbarsalou-duval9473,Active,Man,Bloc Québécois,Pierre-Boucher—Les Patriotes—Verchères,Quebec
NA,Karim,Bardeesy,votekarim6849,https://www.youtube.com/@votekarim6849,Active,Man,Liberal,Taiaiako'n—Parkdale—High Park,Ontario
NA,John,Barlow,JohnBarlowMP,https://www.youtube.com/@JohnBarlowMP,Active,Man,Conservative,Foothills,Alberta
NA,Michael,Barrett,MikeBarrettON,https://www.youtube.com/@MikeBarrettON,Active,Man,Conservative,Leeds—Grenville—Thousand Islands—Rideau Lakes,Ontario
NA,Mario,Beaulieu,mariobeaulieu5507,https://www.youtube.com/@mariobeaulieu5507,Inactive,Man,Bloc Québécois,La Pointe-de-l'Île,Quebec
Hon.,Terry,Beech,terrybeech,https://www.youtube.com/@terrybeech,Active,Man,Liberal,Burnaby North—Seymour,British Columbia
NA,Rachel,Bendayan,rachelbendayan1312,https://www.youtube.com/@rachelbendayan1312,Inactive,Woman,Liberal,Outremont,Quebec
NA,Luc,Berthold,LucBertholdDepute,https://www.youtube.com/@LucBertholdDepute,Active,Man,Conservative,Mégantic—L'Érable—Lotbinière,Quebec
NA,James,Bezan,jamesbezan,https://www.youtube.com/@jamesbezan,Active,Man,Conservative,Selkirk—Interlake—Eastman,Manitoba
Hon.,Bill,Blair,billblairmp5321,https://www.youtube.com/@billblairmp5321,Inactive,Man,Liberal,Scarborough Southwest,Ontario
NA,Yves-François,Blanchet,yves-francoisblanchet2936,https://www.youtube.com/@yves-francoisblanchet2936,Inactive,Man,Bloc Québécois,Beloeil—Chambly,Quebec
NA,Maxime,Blanchette Joncas,MBJDepute,https://www.youtube.com/@MBJDepute,Active,Man,Bloc Québécois,Rimouski—La Matapédia,Quebec
NA,Kelly,Block,MPKellyBlock,https://www.youtube.com/@kellyBloc Québécoiskmp5459,Inactive,Woman,Conservative,Carlton Trail—Eagle Creek,Saskatchewan
NA,Kody,Blois,kodyblois6484,https://www.youtube.com/@kodyblois6484,Inactive,Man,Liberal,Kings—Hants,Nova Scotia
NA,Patrick,Bonin,PatrickBonin-BQ,https://www.youtube.com/@PatrickBonin-BQ,Active,Man,Bloc Québécois,Repentigny,Quebec
NA,Steven,Bonk,StevenBonkSK,https://www.youtube.com/@StevenBonkSK,Inactive,Man,Conservative,Souris—Moose Mountain,Saskatchewan
NA,Alexandre,Boulerice,AlexandreBoulericeNPD,https://www.youtube.com/@AlexandreBoulericeNPD,Active,Man,NDP,Rosemont—La Petite-Patrie,Quebec
NA,Richard,Bragdon,richardbragdonmp,https://www.youtube.com/@richardbragdonmp,Inactive,Man,Conservative,Tobique—Mactaquac,New Brunswick
NA,John,Brassard,johnbrassardcpc5357,https://www.youtube.com/@johnbrassardcpc5357,Active,Man,Conservative,Barrie South—Innisfil,Ontario
NA,Élisabeth,Brière,elisabethbrieredeputeefede2534,https://www.youtube.com/@elisabethbrieredeputeefede2534,Inactive,Woman,Liberal,Sherbrooke,Quebec
NA,Larry,Brock,LarryBrockMP,https://www.youtube.com/@LarryBrockMP,Active,Man,Conservative,Brantford—Brant South—Six Nations,Ontario
NA,Blaine,Calkins,blainecalkinsmp,https://www.youtube.com/@blainecalkinsmp,Active,Man,Conservative,Ponoka—Didsbury,Alberta
NA,Frank,Caputo,FrankCaputoMP,https://www.youtube.com/@FrankCaputoMP,Active,Man,Conservative,Kamloops—Thompson—Nicola,British Columbia
NA,Mark,Carney,MarkJCarney,https://www.youtube.com/@MarkJCarney,Active,Man,Liberal,Nepean,Ontario
NA,Ben,Carr,MPBenCarr,https://www.youtube.com/@MPBenCarr,Active,Man,Liberal,Winnipeg South Centre,Manitoba
NA,Sean,Casey,SeanCaseyMP,https://www.youtube.com/@SeanCaseyMP,Active,Man,Liberal,Charlottetown,Prince Edward Island
Hon.,Bardish,Chagger,bardishchagger3608,https://www.youtube.com/@bardishchagger3608,Active,Woman,Liberal,Waterloo,Ontario
NA,Adam,Chambers,adamchamberssimcoenorth,https://www.youtube.com/@adamchamberssimcoenorth,Active,Man,Conservative,Simcoe North,Ontario
Hon.,François-Philipe,Champagne,francois-philippechampagne971,https://www.youtube.com/@fpchampagne,Inactive,Man,Liberal,Saint-Maurice—Champlain,Quebec
NA,Martin,Champoux,martinchampouxbq,https://www.youtube.com/@martinchampouxbq,Active,Man,Bloc Québécois,Drummond,Quebec
NA,Rebecca,Chartrand,rebeccachartrandcampaign7313,https://www.youtube.com/@rebeccachartrandcampaign7313,Inactive,Woman,Liberal,Churchill—Keewatinook Aski,Manitoba
NA,Sophie,Chatel,sophiechatel-pontiac3449,https://www.youtube.com/@sophiechatel-pontiac3449,Active,Woman,Liberal,Pontiac—Kitigan Zibi,Quebec
NA,Shaun,Chen,ShaunChenMP,https://www.youtube.com/@ShaunChenMP,Active,Man,Liberal,Scarborough North,Ontario
Hon.,Michael,Chong,michaelchongmp,https://www.youtube.com/@michaelchongmp,Active,Man,Conservative,Wellington—Halton Hills North,Ontario
NA,Leslie,Church,lesliechurchTSP,https://www.youtube.com/@lesliechurchTSP,Active,Woman,Liberal,Toronto—St. Paul's,Ontario
NA,Braedon,Clark,braedonclark9856,https://www.youtube.com/@braedonclark9856,Inactive,Man,Liberal,Sackville—Bedford—Preston,Nova Scotia
NA,Sandra,Cobena,sandracobena9500,https://www.youtube.com/@sandracobena9500,Active,Woman,Conservative,Newmarket—Aurora,Ontario
NA,Connie,Cody,ConnieCodyforCambridge,https://www.youtube.com/@ConnieCodyforCambridge,Active,Woman,Conservative,Cambridge,Ontario
NA,Michael,Cooper,MichaelCooperMP,https://www.youtube.com/@MichaelCooperMP,Active,Man,Conservative,St. Albert—Sturgeon River,Alberta
NA,Serge,Cormier,sergecormierm.p.depute9635,https://www.youtube.com/@sergecormierm.p.depute9635,Inactive,Man,Liberal,Acadie—Bathurst,New Brunswick
NA,Michael,Coteau,Michael_Coteau,https://www.youtube.com/@Michael_Coteau,Active,Man,Liberal,Scarborough—Woburn,Ontario
NA,Chris,d'Entremont,chrisdentremontmp5648,https://www.youtube.com/@chrisdentremontmp5648,Inactive,Man,Conservative,Acadie—Annapolis,Nova Scotia
NA,Julie,Dabrusin,juliedabrusin9420,https://www.youtube.com/@juliedabrusin9420,Inactive,Woman,Liberal,Toronto—Danforth,Ontario
NA,Marc,Dalton,marc_dalton,https://www.youtube.com/@marc_dalton,Active,Man,Conservative,Pitt Meadows—Maple Ridge,British Columbia
NA,Raquel,Dancho,RaquelDanchoCPC,https://www.youtube.com/@RaquelDanchoCPC,Active,Woman,Conservative,Kildonan—St. Paul,Manitoba
NA,John-Paul,Danko,john-pauldanko554,https://www.youtube.com/@john-pauldanko554,Inactive,Man,Liberal,Hamilton West—Ancaster—Dundas,Ontario
NA,Scot,Davidson,ScotDavidsonMP,https://www.youtube.com/@ScotDavidsonMP,Inactive,Man,Conservative,New Tecumseth—Gwillimbury,Ontario
NA,Don,Davies,dondaviesndp,https://www.youtube.com/@dondaviesndp,Active,Man,NDP,Vancouver Kingsway,British Columbia
NA,Claude,DeBellefeuille,claudedebellefeuilleBQ,https://www.youtube.com/@claudedebellefeuilleBQ,Active,Woman,Bloc Québécois,Beauharnois—Salaberry—Soulanges—Huntingdon,Quebec
NA,Kelly,DeRidder,KellyDeRidderMP,https://www.youtube.com/@KellyDeRidderMP,Active,Woman,Conservative,Kitchener Centre,Ontario
NA,Alexis,Deschênes,AlexisDesch�nes-y2g,https://www.youtube.com/@AlexisDesch�nes-y2g,Active,Man,Bloc Québécois,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,Quebec
NA,Gérard,Detell,gerarddeltell-deputedeloui7987,https://www.youtube.com/@gerarddeltell-deputedeloui7987,Inactive,Man,Conservative,Louis-Saint-Laurent�Akiawenhrahk,Quebec
NA,Sukh,Dhaliwal,sukhdhaliwal1354,https://www.youtube.com/@sukhdhaliwal1354,Inactive,Man,Liberal,Surrey Newton,British Columbia
NA,Lena Metlege,Diab,mlalenametlegediab1754,https://www.youtube.com/@mlalenametlegediab1754,Inactive,Woman,Liberal,Halifax West,Nova Scotia
